categories                                     ;code                                      ;description
Equipment & Magic, Weapons, Halberds           ;Vulgar Militia Shotel                     ;A hooked blade attached to a long handle. Wielded by the vulgar militia, its attacks can slip through an enemy's guard. The vulgar militia are the undecorated stewards of rancid, scorched battlefields that none dare approach, and forbidden domains better forgotten by the rest of the world
Equipment & Magic, Weapons, Halberds           ;Vulgar Militia Saw                        ;A weapon comprised of a saw blade attached to a long grip. Brandished by the vulgar militia, its serrated edge is very effective at inflicting blood loss. The saw is said to also be used to cut up bodies to feed the militia, but there are no firsthand witnesses to confirm the dire rumor.
Equipment & Magic, Weapons, Halberds           ;Guardian's Swordspear                     ;Weapon comprising a long handle and broad blade sharpened from the hard wood of old trees.
Equipment & Magic, Weapons, Halberds           ;Gargoyle's Halberd                        ;"Bronze halberd wielded by Valiant Gargoyles. Just like the wielder, the missing parts have been mended with corpse wax; a patchwork of champions. "
Equipment & Magic, Weapons, Halberds           ;Gargoyle's Black Halberd                  ;Bronze halberd wielded by Valiant Gargoyles, mended with blackened corpse wax. Deals holy damage. Such is the mark of those who serve Maliketh, the Black Blade.
Equipment & Magic, Weapons, Halberds           ;Nightrider Glaive                         ;A jet-black glaive with a blade as weighty as a bludgeon. Weapon of the Night's Cavalry who ride funeral seeds.  This glaive excels at weighty slash attacks that crash into foes, making it a powerful weapon even on horse back.
Equipment & Magic, Weapons, Halberds           ;Pest's Glaive                             ;Glaive made from a hard, sharpened shell. Wielded by the pests who emerged from the Swamp of Aeonia. Slightly increases non-physical damage negation.
Equipment & Magic, Weapons, Halberds           ;Ripple Crescent Halberd                   ;Weapon wielded by young Albinaurics. The blade is said to resemble a partial image of a ripple, and its attack power scales with one's arcane attribute.
Equipment & Magic, Weapons, Halberds           ;Golden Halberd                            ;Weighty halberd forged of gold. Wielded by the Order of Tree Sentinels, heavily equipped knights.  A masterfully crafted weapon that lives up to its heft, but is difficult for one mere human strength to wield.
Equipment & Magic, Weapons, Halberds           ;Dragon Halberd                            ;Halberd shaped like a dragon, enwreathed with both ice and lightning. Alas, the Dragonkin Soldiers never attained immortality, and perished as decrepit, pale imitations of their skyborn kin.
Equipment & Magic, Weapons, Halberds           ;Loretta's War Sickle                      ;Intricately crafted silver war sickle wielded by Loretta, Knight of the Haligtree.
Equipment & Magic, Weapons, Halberds           ;Commander's Standard                      ;A beaten red battle standard is furled around this time-worn halberd. Even after his lord was fled, Commander O'Neil continued to brandish this flag in the devastation of the rot-eaten field of battle, the sole veteran who remembers this battle with pride.
Equipment & Magic, Weapons, Reapers            ;Scythe                                    ;Large scythe featuring a long, slender blade. Designed to reap, this weapon is capable of rapidly inflicting blood loss while also slipping through an enemy's guard.  In the hands of a highly dexterous wielder it is capable of striking fear into the heart of any foe.
Equipment & Magic, Weapons, Reapers            ;Grave Scythe                              ;Greatscythe comprised of a large blade affixed to a crooked stick. Weapon wielded by the aged grave keepers who tend the forgotten graveyards throughout the Lands Between. This weapon is said to have served as a charm against evil spirits in times of old.
Equipment & Magic, Weapons, Reapers            ;Halo Scythe                               ;War scythe of the Cleanrot Knights who fought alongside Malenia, Blade of Miquella. This was the weapon of commanders in Malenia's army, and the half-halo blade deals holy damage.
Equipment & Magic, Weapons, Reapers            ;Winged Scythe                             ;Sacred scythe resembling a pair of white wings. Deals holy damage. According to pagan belief, white-winged maidens are said to be Death's gentle envoys.
Equipment & Magic, Weapons, Whips              ;Whip                                      ;A leather whip. Not originally used for combat, but as an instrument of pain. Through its supple attacks cannot be thwarted by parrying or even guarding, it is incapable of dealing critical hits.
Equipment & Magic, Weapons, Whips              ;Thorned Whip                              ;Hefty whip coverd in crimson thorns. Weapon of the Prelates who lead the Fire Monks. A device of fearsome religious encouragement, it is fashioned in the image of the briars of sin. Very effective at inflicting blood loss.
Equipment & Magic, Weapons, Whips              ;Urumi                                     ;This weapon made of extremely thin, flexible blades of metal is wielded like a whip by Nightfolk warriors.  Though in essence a whip with a cutting edge, it can also be used as a spear to pierce foes.
Equipment & Magic, Weapons, Whips              ;Hoslow's Petal Whip                       ;Metal whip formed of razor-sharp chain-link blades that have the but it excels at inflicting devastation
Equipment & Magic, Weapons, Whips              ;Magma Whip Candlestick                    ;This ritual implement is a three pronged candlestick with solid When wielded as a weapon, the flames become supple whips of
Equipment & Magic, Weapons, Whips              ;Giant's Red Braid                         ;Hefty whip woven from the flame-red hair of a Fire Giant. Every giant is red of hair, and Radagon was said to have despised his own red locks. Perhaps that was a curse of their kind.
Equipment & Magic, Weapons, Fists              ;Caestus                                   ;A weapon built for striking with the fists, made of tough leather inlaid with iron rivets. Fist weapons come in pairs, and two-handing this weapon will equip it to both hands.
Equipment & Magic, Weapons, Fists              ;Spiked Caestus                            ;A Caestus with the rivets replaced by blood loss-inducing spikes. Fists weapons come in pairs, and two-handing this weapon will it to both hands.
Equipment & Magic, Weapons, Fists              ;Katar                                     ;Imported dagger design with a rather unique handle. The blade can be swung about as the extension of one's fist.
Equipment & Magic, Weapons, Fists              ;Iron Ball                                 ;Iron manifer of spherical shape. Big Boggart the blackguard's weapon of choice. Not a weapon to be taken lightly, as its weighty blows shatter bones with ease.
Equipment & Magic, Weapons, Fists              ;Star Fist                                 ;Spherical iron manifer covered in spikes which induce blood loss.  Used in brutal games of pugilism.
Equipment & Magic, Weapons, Fists              ;Clinging Bone                             ;"Horrific weapon made of a hardened skeletal arm. Wielded by Ensha of the Royal Remains. Fitted by placing one's hands into the fists' grips until they dig in. """"O clinging creature. A king relinquishes not the hand."""" "
Equipment & Magic, Weapons, Fists              ;Veteran's Prosthesis                      ;Bladed prosthetic leg enwreathed with the power of lightning, instead attached to the fist. Commander Niall, veteran of Castle Sol, offered this prosthesis in exchange for the lives of defeated knights held prisoner. He went on to lead these men as an army of no nation.
Equipment & Magic, Weapons, Fists              ;Cipher Pata                               ;"One of the weapons originating from the Two Fingers. A formless sequence of ciphers comprise its blade, and as such no shield can repel it. Deals holy damage. The furtive inscription appears to hang in the air; the language of light spoken by the Two Fingers. "
Equipment & Magic, Weapons, Fists              ;Grafted Dragon                            ;The embodiment of the power that still remained in the dragon's head that was granted to Godrick's left arm. The wielder's arm will take the form of a small dragon, sprouting sharp dragon fangs at the fist.
Equipment & Magic, Weapons, Claws              ;Hookclaws                                 ;Weapon worn on the fist comprised of sharp parallel blades favored by those who lurk in the dark. Lacerations cause blood loss with great effect.  Claw weapons come in pairs, and two-handing this weapon will equip it to both hands.
Equipment & Magic, Weapons, Claws              ;Bloodhound Claws                          ;Large curved claws used by Bloodhound Knights. The curve allows the weapon to slip through an enemy's guard.
Equipment & Magic, Weapons, Claws              ;Venomous Fang                             ;One of the weapons designed for gladiatorial combat. Used by duelists who were exiled from the colosseum. The black fang protruding from the bronze snake head is coated in deadly poison.
Equipment & Magic, Weapons, Claws              ;Raptor Talons                             ;Claw comprised of two sharp, thin blades, wielded by the assassins of Ravenmount, this weapon allows them to imitate the attacks of Deathbirds. Besides excelling at airborne attacks, its charge attack mimics the vicious swoop of a bird of prey.
Equipment & Magic, Weapons, Light Bows         ;Shortbow                                  ;Small bow made to fire arrows over great distances. Other than its ability to fire off arrows in rapid succession, it is also well-suited for use on horseback. To use a bow, arrows must also be equipped.
Equipment & Magic, Weapons, Light Bows         ;Composite Bow                             ;Bow composited from a mix of Materials.  Demands high attributes, and is tricky to wield, but is a fearsome tool when mastered.
Equipment & Magic, Weapons, Light Bows         ;Red Branch Shortbow                       ;Shortbow of polished red wood. Fashioned by a master craftsman and wielded by pages.  A bow which requires dexterity rather than strength to master.
Equipment & Magic, Weapons, Light Bows         ;Misbegotten Shortbow                      ;Shortbow wielded by Winged Misbegotten. Fine fur clings to it.
Equipment & Magic, Weapons, Light Bows         ;Harp Bow                                  ;Bow fashioned from a minstrel's harp. Sonorous tones still resound when firing arrows. Troubadours sing tales of champions, both in the honorable service of the Erdtree, and the one who spurns honor for blasphemy.
Equipment & Magic, Weapons, Greatbows          ;Greatbow                                  ;Enormous greatbow larger than any man. Can not be drawn with any ordinary level of strength, but the force of its shots is extraordinary.
Equipment & Magic, Weapons, Greatbows          ;Golem Greatbow                            ;Greatbow of black stone crafted by a civilization now gone to
Equipment & Magic, Weapons, Greatbows          ;Erdtree Greatbow                          ;Greatbow featuring Erdtree styling. In times of old, when faith and battle went hand in hand, this weapon was created in tandem with the Golden Great Arrow. Scales all arrow damage with faith, revealing its true worth when used with holy-infused arrows.
Equipment & Magic, Weapons, Greatbows          ;Lion Greatbow                             ;Greatbow of black iron wielded by General Radahn. Decorated with a lion mane motif. Imbued with gravitational power of the Starscourge, when used along with Radahn's Spear, it becomes a true weapon of a champion.
Equipment & Magic, Weapons, Ballistas          ;Hand Ballista                             ;An unconventional ballistic device modeled on a weapon used to besiege castles. Only capable of firing greatbolts. Perfect for reckless acts such as storming a castle or facing an entire army alone.
Equipment & Magic, Weapons, Ballistas          ;Jar Cannon                                ;Jar cannon which uses explosives to fire greatbolts. Deals great damage but is slow to reload.  Experimental firearm brought to the assault on Volcano Manor, where it was discovered that no one knew how to use it.
Equipment & Magic, Weapons, Glintstone Staffs  ;Astrologer's Staff                        ;Staff of the astrologers. A glintsone is embedded in the tip, enabling it to be used as a catalyst for sorceries.
Equipment & Magic, Weapons, Glintstone Staffs  ;Glintstone Staff                          ;Staff with a glintstone embedded at the tip. A catalyst for casting sorceries.  Sorceries must be memorized first at a site of lost grace, and a staff must be equipped to cast them.
Equipment & Magic, Weapons, Glintstone Staffs  ;Academy Glintstone Staff                  ;Staff of the Academy of Raya Lucaria, Only a recognized sorcerer is permitted to wield this staff.
Equipment & Magic, Weapons, Glintstone Staffs  ;Carian Regal Scepter                      ;Magic scepter of Rennala, Queen of the Full Moon. The  glintstone is known as a Carian Blue, enhancing full moon  sorceries. Only those of the highest intelligence may wield this, the finest of  all glintstone staves.
Equipment & Magic, Weapons, Glintstone Staffs  ;Digger's Staff                            ;Staff of a sorcerer-miner who extracts glintstone from crystal tunnels. The staff itself is a tool used to mine, and the ferrule is also embedded with a glintstone.  Boosts the power of Stonedigger sorceries
Equipment & Magic, Weapons, Glintstone Staffs  ;Demi-Human Queen's Staff                  ;Glintstone staff styled as a scepter. A gift once given to the demi-humans to foster peace, it can be wielded even by those of low intelligence.
Equipment & Magic, Weapons, Glintstone Staffs  ;Azur's Glintstone Staff                   ;Staff of the primeval glintstone sorcerer Azur.  Reduces casting time of all sorceries, but consumes additional FP.
Equipment & Magic, Weapons, Glintstone Staffs  ;Lusat's Glintstone Staff                  ;Staff of the primeval glintstone sorcerer Lusat. Only those who have glimpsed what lies beyond the wisdom of stone may wield it. Enhances power of all sorceries, but consumes additional FP.
Equipment & Magic, Weapons, Glintstone Staffs  ;Carian Glintstone Staff                   ;Staff embedded with a blue glintstone. One of two types of Carian staff. Given to sorcerers that they might enact the role of knight. Enhances Carian sword sorceries.
Equipment & Magic, Weapons, Glintstone Staffs  ;Carian Glintblade Staff                   ;Staff embedded with a blue glintstone. One of two types of Carian staff. Gifted to enchanted knights, it enhances Glintblade sorceries.
Equipment & Magic, Weapons, Glintstone Staffs  ;Albinauric Staff                          ;"Short staff with a blue glintstone embedded. Wielded by the albinaurics of old. The albinaurics harbor a secret; they cast sorcery with their innate arcaneness. "
Equipment & Magic, Weapons, Glintstone Staffs  ;Staff of Loss                             ;Staff missing its glintstone. Wielded by sorcerers who believe that discovery comes through acts of asceticism. This staff only distinguishes itself when casting invisibility sorceries, but that is reason enough for some to wield it.
Equipment & Magic, Weapons, Glintstone Staffs  ;Gelmir Glintstone Staff                   ;Staff with a forked tip, embedded with red glintstones. Enhances lava sorceries. The Man-Serpents of Mt. Gelmir draw from faith in addition to intelligence to enhance the potency of their sorcery.
Equipment & Magic, Weapons, Glintstone Staffs  ;Crystal Staff                             ;"Staff fashioned from pure crystal; a deed impossible for a human. Enhances Crystalian sorceris. The Crystalian's faint cognition is know as the 'wisdom of stone.' This staff can only be weilded by those of intellect high enough to grasp such wisdom."
Equipment & Magic, Weapons, Glintstone Staffs  ;Rotten Crystal Staff                      ;"Staff fashioned from pure crystal; a deed impossible for a human. It festers with scarlet rot. Enhances Crystalian sorceries. "
Equipment & Magic, Weapons, Glintstone Staffs  ;Meteorite Staff                           ;Staff embedded with a dark purple glintstone, said to be the fragment of a meteorite. Boasts high sorcery scaling and boosts gravity sorceries as well.
Equipment & Magic, Weapons, Glintstone Staffs  ;Staff of the Guilty                       ;A heretical staff fashioned from a smoldering, withered sapling that turns the blood of sacrifices pierced by it into glintstone. Similar to hex magic. Sorceries are scaled with faith rather than intelligence when wielding this staff which enhances Thorn sorceries in particular
Equipment & Magic, Weapons, Glintstone Staffs  ;Prince of Death's Staff                   ;Staff embedded with sullied amber, said to be a very part of the Prince of Death. Enhances death sorceries. One of the staves deemed heretical by the academy for its ability to allow sorceries to be augmented through faith in addition to intelligence.
Equipment & Magic, Weapons, Sacred Seals       ;Finger Seal                               ;A sacred seal bestowed by a Finger Maiden which serves as a catalyst for casting sacred incantations. Incantations must be memorized first at a site of grace, and a sacred seal must be equipped to cast them.
Equipment & Magic, Weapons, Sacred Seals       ;Erdtree Seal                              ;A formless sacred seal decorated with an Erdtree crest, once the focus of religion in the Lands Between.
Equipment & Magic, Weapons, Sacred Seals       ;Golden Order Seal                         ;A formless sacred seal depicting the ceremonial observation of Order. Enhances Golden Fundamentalist incantations.  Fundamentalism is scholarship in all but name. Scales incantation using both intelligence and faith.
Equipment & Magic, Weapons, Sacred Seals       ;Gravel Stone Seal                         ;Sacred seal made from Gravel Stone thought to be an ancient dragon scale. Enhances Dragon Cult incantations of the Royal Capital. The worship of the ancient dragons does not conflict with belief in the Erdtree. After all, this seal, and lightning itself, are both imbued with gold.
Equipment & Magic, Weapons, Sacred Seals       ;Giant's Seal                              ;Sacred seal depicting the one eyed god of the Fire Giants, adorned with braids of red hair. Sacred seal wielded by Fire Monks and Prelates, this catalyst enhances Giants' Flame incantations.
Equipment & Magic, Weapons, Sacred Seals       ;Godslayer's Seal                          ;Sacred seal of the Godskin Apostles, inlaid with obsidian. Said to represent the manipulation of black flame, this catalyst enhances godslayer incantations.
Equipment & Magic, Weapons, Sacred Seals       ;Clawmark Seal                             ;A sacred seal given by Gurranq, the Beast The claw mark represents Gurranq's wrath. Enhances bestial incantations learned from Gurranq.
Equipment & Magic, Weapons, Sacred Seals       ;Frenzied Flame Seal                       ;Formless sacred seal bestowed by the maiden of the Three Fingers. Enhances incantations of the frenzied flame. This seal is the mark of the Lord of Frenzied Flame. Scales  incantations using strength, dexterity, intelligence, and faith all  together.
Equipment & Magic, Weapons, Sacred Seals       ;Dragon Communion Seal                     ;"Formless drakeblood seal with a dragon communion crest. Enhances Dragon Communion incantations. The sacrificial devouring of the heart gives power. Indeed, Dragon Communion is too primal in nature for the term ""incantation"" to be appropriate. This seal scales incantations with one's arcane attribute. "
Equipment & Magic, Items, Key Items            ;Torch                                     ;This torch's tip is wrapped in oil-soaked rags and set on fire.  The flame can illuminate dark locales, or used to attack enemies.  Can be raised up when equipped in the left hand, illuminating more of the surrounding area.
Equipment & Magic, Weapons, Torches            ;Beast-Repellent Torch                     ;A torch which burns oil infused with a special incense. The aroma pacifies wild beasts.
Equipment & Magic, Weapons, Torches            ;Steel-Wire Torch                          ;Torch wound with metal wire. The flame can illuminate dark locales, or be used to attack enemies.
Equipment & Magic, Weapons, Torches            ;Sentry's Torch                            ;Torch Given to protectors of the Erdtree. Its flames are bestowed with a special incantation which allows the bearer to see assassins cloaked in veils. Furnished on behalf of the Erdtree and the Grace-Given Lord such that a Night of Black Knives will never come again.
Equipment & Magic, Weapons, Torches            ;Ghostflame Torch                          ;"<span style=""color: #b4b2b0;"">Metal torch that burns with cold ghostflame. Tool of the Fallen Hawks who prowl the underground rivers. When the band's last embers were used up in their long search, they began to burn the bones of their fellows, acquiring the cold ghostflame, but sealing their fate as dwellers of the underground for all eternity. </span> "
Equipment & Magic, Weapons, Torches            ;St Trina's Torch                          ;Candlestand torch that burns with a light-purple flame. The carvings depict St. Trina, but in adult form, somewhat unnervingly.  The light-purple flame induces sleep.
Equipment & Magic, Armor, Helms                ;Alberich's Pointed Hat                    ;Mad Tongue Alberich's pointed hat, a sign of a heretical practitioner.  Set with red glintstones said to be formed by the blood of sacrifices. Strengthens thorn sorcery.  Alberiches was an aloof yet disturbed heretical sorcerer said to have been driven mad by jeering tongues during his service to the Roundtable Hold long ago.
Equipment & Magic, Armor, Helms                ;Albinauric Mask                           ;Made from the largely unaltered hide of a young Albinauric. Raises arcane, but reduces the HP recovery effects of the Flask of Crimson Tears. A far cry from godskin, this Albinauric hide mask is the product of malicious mockery.
Equipment & Magic, Armor, Helms                ;All-Knowing Helm                          ;Helm set with countless eyes and ears. Worn by Gideon Ofnir, the All-Knowing.
Equipment & Magic, Armor, Helms                ;Aristocrat Hat                            ;Leather hat decorated with a withered feather. Abandoning their birthplace after the Shattering, these undead wanderers are the pitiful product of unending life.
Equipment & Magic, Armor, Helms                ;Aristocrat Headband                       ;Valuable headband featuring fine goldwork. Travel attire worn by nobles in the capital. Abandoning their birthplace after the Shattering, these undead wanderers are pitiful product of unending life.
Equipment & Magic, Armor, Helms                ;Astrologer Hood                           ;Hood fashioned from supple cloth. Worn by those who look to the cosmos above.
Equipment & Magic, Armor, Helms                ;Ash-of-War Scarab                         ;Gray scarab worn directly on the head. These scarabs roll clumps of Ashes of War during their labors. Slightly reduces the FP cost of skills, but increases damage taken.
Equipment & Magic, Armor, Helms                ;Azur's Glintstone Crown                   ;Crown of Azur, primeval current sorcerer, set with a prominent blue-green glintstone. This crown replaced Azur's brain and skull altogether, and now, removed from his body, it is all but dead. What power remains within raises the potency of Azur's primeval current sorceries at the cost of additional FP consumption.
Equipment & Magic, Armor, Helms                ;Bandit Mask                               ;Mask of black cloth that covers the mouth.
Equipment & Magic, Armor, Helms                ;Banished Knight Helm                      ;Thick, full set of armor covering the entire body.
Equipment & Magic, Armor, Helms                ;Beast Champion Helm                       ;"Silver helm engraved with tiny beasts. Worn by Bernahl the Recusant. The beasts, their eyes and ears covered, represent an oath: ""See nothing, hear nothing, doubt nothing, and carry on, along the path set in stone.""  "
Equipment & Magic, Armor, Helms                ;Black Knife Hood                          ;Hood used by the Black Knife Assassins.
Equipment & Magic, Armor, Helms                ;Blackflame Monk Hood                      ;Mail hood of iron links covering a headband engraved with black flames. Attire of the Blackflame Monks. The Blackflame Monks, enthralled by the god-slaying black flame, became traitors, abandoning their posts as guardians. The seduction of a taboo is never easily spurned.
Equipment & Magic, Armor, Helms                ;Bloodhound Knight Helm                    ;Metal helm with a pointed beak. Worn by the Bloodhound Knights.
Equipment & Magic, Armor, Helms                ;Bloodsoaked Mask                          ;Mask formed from tightly-wound bandages soaked through with blood.
Equipment & Magic, Armor, Helms                ;Blue Cloth Cowl                           ;Cowl of a nomadic warrior.
Equipment & Magic, Armor, Helms                ;Briar Helm                                ;Battered iron helm from a foreign land. The winding, rusted iron briars are the mark of the guilty, and typically indicate a sentence of death. They also cause this armor to deal damage when performing dodge rolls.
Equipment & Magic, Armor, Helms                ;Bull-Goat Helm                            ;Great Horned Tragoth's helm, adorned with a gold bull-goat motif. Provides high poise. Tragoth is a famed knight of assistance. Countless Tarnished, facing adversity in the Lands Between, have survived thanks only to the Great Horned One's aid
Equipment & Magic, Armor, Helms                ;Carian Knight Helm                        ;Helm of the enchanted knights that once served the Carian royal family.
Equipment & Magic, Armor, Helms                ;Chain Coif                                ;Coif made of woven chain. Standard issue for ordinary soldiers.
Equipment & Magic, Armor, Helms                ;Cleanrot Helm                             ;Winged helm of the Cleanrot Knights, celebrated for their undefeated campaign in the Shattering. The Cleanrot Knights vowed to fight alongside Malenia, despite the inevitable, if gradual, putrefaction of their flesh. Their acceptance of their fate made these battles fiercest of all.
Equipment & Magic, Armor, Helms                ;Champion Headband                         ;Headband reserved for the badlands' bravest.
Equipment & Magic, Armor, Helms                ;Commoner's Headband                       ;A headband with the cloth removed.
Equipment & Magic, Armor, Helms                ;Confessor Hood                            ;Black hood for blending in with the darkness.
Equipment & Magic, Armor, Helms                ;Crimson Hood                              ;A hooded cloak of vivid crimson.  Such cloaks were gifted to those who departed on journeys without specific orders, to faraway lands from which they would never return. In other words, the gift of a cloak made it easier for undesirable to be on their way.  Roderika never once saw the guidance of grace.
Equipment & Magic, Armor, Helms                ;Crucible Axe Helm                         ;Helm of the Crucible Knights who served Godfrey, the first Elden Lord.
Equipment & Magic, Armor, Helms                ;Crucible Tree Helm                        ;Helm of the Crucible Knights who served Godfrey, the first Elden Lord.
Equipment & Magic, Armor, Helms                ;Eccentric's Hood                          ;A pointy, ragged hood. Worn by the knight Jerren. The hood hides an aged, bearded mask. Jerren served General Radahn as a guest commander, and they are said to have sworn an oath of honorable death to one another.
Equipment & Magic, Armor, Helms                ;Elden Lord Crown                          ;Crown of Godfrey, the first Elden Lord.
Equipment & Magic, Armor, Helms                ;Exile Hood                                ;Deep red hood that covers the whole head.
Equipment & Magic, Armor, Helms                ;Fia's Hood                                ;Hood of black cloth that covers the whole head. The fabric iteself is soft as silk.
Equipment & Magic, Armor, Helms                ;Fingerprint Helm                          ;Iron helm singed and blistered by fingers. Worn by Vyke, knight of the Roundtable Hold. No other Tarnished was closer to the throne of the Elden Lord than Vyke. But without announcement, Vyke traveled far below the capital, and was scorched by the flame of frenzy. Did he make his choice for his maiden, or did some other force lure him with suggestion?
Equipment & Magic, Armor, Helms                ;Finger Maiden Fillet                      ;Fillet worn by maidens who serve the Two Fingers.
Equipment & Magic, Armor, Helms                ;Fire Monk Hood                            ;Mail hood of iron links covering a headband engraved with flames. Attire of the Fire Monks. The Fire Monks are guardians of the flame of ruin, forbidden by the Erdtree and said to be kept high in the Mountaintops of the Giants.
Equipment & Magic, Armor, Helms                ;Foot Soldier Cap                          ;Flanged iron cap widely issued to foot soldiers in a lord's army.
Equipment & Magic, Armor, Helms                ;Foot Soldier Helmet                       ;Helmet with a protective metal plate.
Equipment & Magic, Armor, Helms                ;Gelmir Knight Helm                        ;Helm worn by knights once loyal to Praetor Rykard. Its crest of red feathers symbolizes Rykard's pedigree as Lord Radagon's son.
Equipment & Magic, Armor, Helms                ;Godrick Knight Helm                       ;Helm worn by knights loyal to Godrick the Grafted. Adorned with a plum of withered, ashen hair.
Equipment & Magic, Armor, Helms                ;Godrick Soldier Helm                      ;Helm worn by soldiers loyal to Godrick the Grafted.
Equipment & Magic, Armor, Helms                ;Godskin Apostle Hood                      ;Hood made by seweing together patches of smooth skin. The apostles, once said to serve Destined Death, are wielders of the god-slaying black flame.  But after their defeat by Maliketh, the Black Blade, the source of their power was sealed away.
Equipment & Magic, Armor, Helms                ;Greathelm                                 ;Sturdy greathelm made from iron.
Equipment & Magic, Armor, Helms                ;Great Horned Headband                     ;Headband decorated by a pair of great horns. Worn by ancestral follower warriors.
Equipment & Magic, Armor, Helms                ;Guilty Hood                               ;Coarse hooded cloak of olive brown.
Equipment & Magic, Armor, Helms                ;Haligtree Helm                            ;Helm worn by soldiers sworn to the Haligtree. An iron helm graced by a crown of unalloyed gold.
Equipment & Magic, Armor, Helms                ;Hierodas Glintstone Crown                 ;One of the glintstone crowns bestowed upon Raya Lucaria scholars whose pursuits were deemed worthy.
Equipment & Magic, Armor, Helms                ;Highwayman Hood                           ;Hideously stained and ragged hood.
Equipment & Magic, Armor, Helms                ;Hoslow's Helm                             ;A twin-tailed silver helm decorated with flowery adornments. Symbol of the head of the revered House of Hoslow. Juno Hoslow had a younger brother who was all talk and no trousers.  His inability to commit to action was such that Juno inherited the Hoslow legacy without resistance, granting him the freedom to shower his little brother with adoration.
Equipment & Magic, Armor, Helms                ;Imp Head (Cat)                            ;Head covering made from the largely unaltered head of an impish golem.
Equipment & Magic, Armor, Helms                ;Imp Head (Corpse)                         ;Head covering made from the largely unaltered head of an impish golem.
Equipment & Magic, Armor, Helms                ;Imp Head (Elder)                          ;Head covering made from the largely unaltered head of an impish golem.
Equipment & Magic, Armor, Helms                ;Imp Head (Fanged)                         ;Head covering made from the largely unaltered head of an impish golem. Resembling a fanged demon, it holds trace amounts of bestial strength.
Equipment & Magic, Armor, Helms                ;Imp Head (Long-Tongued)                   ;Head covering made from the largely unaltered head of an impish golem.  Resembling a long-tongued demon, it holds trace amounts of vexatious dexterity.
Equipment & Magic, Armor, Helms                ;Imp Head (Wolf)                           ;Head covering made from the largely unaltered head of an impish golem.
Equipment & Magic, Armor, Helms                ;Iron Helmet                               ;An iron helmet showing rust on its edges.
Equipment & Magic, Armor, Helms                ;Incantation Scarab                        ;Golden scarab worn directly on the head.
Equipment & Magic, Armor, Helms                ;Juvenile Scholar Cap                      ;Cap worn by young academy scholars, the juveniles birthed anew by the amber egg of Queen Rennala, the head of Raya Lucaria Academy.
Equipment & Magic, Armor, Helms                ;Kaiden Helm                               ;Helm worn by Kaiden sellswords.
Equipment & Magic, Armor, Helms                ;Karolos Glintstone Crown                  ;One of the glintstone crowns bestowed upon Raya Lucaria scholars whose pursuits were deemed worthy.
Equipment & Magic, Armor, Helms                ;Knight Helm                               ;Iron helm of an unknown knight.
Equipment & Magic, Armor, Helms                ;Land of Reeds Helm                        ;Helm made from strips of iron fastened together.
Equipment & Magic, Armor, Helms                ;Leyndell Knight Helm                      ;Helm worn by knights sworn to defend the royal capital of Leyndell. The golden canopy represents the honor of standing among the tree's defenders.
Equipment & Magic, Armor, Helms                ;Lionel's Helm                             ;Round iron helm with a distinctive large brim. Worn by Lionel the Lionhearted.  When this chivalrous dauntless knight met Fia, who had been driven from her home, he declared himself to be her father.
Equipment & Magic, Armor, Helms                ;Malformed Dragon Helm                     ;A malformed golden helm. Adorned with various dragon imagery and worn by the misshapen Tree Sentinels.  After the great ancient dragon Gransax attacked, the sentinels had an epiphany. The only way to truly protect the Erdtree was to become dragons themselves
Equipment & Magic, Armor, Helms                ;Maliketh's Helm                           ;Beast's helm made of black iron and decorated with gold. Worn by Maliketh the Black Blade. Maliketh, Queen Marika's loyal half-brother, bore a blade imbued with Destined Death, and there was not one demigod who did not fear him.  Champions knew what was at stake. Indeed, that is what made them champions
Equipment & Magic, Armor, Helms                ;Marais Mask                               ;Mask in the image of a white-haired young noble.
Equipment & Magic, Armor, Helms                ;Marionette Soldier Helm                   ;Cylindrical helm of plate metal reinforced with a lattice. Worn by marionette soldiers, crafted to serve the sorcerers. The construction of this helm is remarkably crude. For a doll, the only thing that matters is that it does not break.
Equipment & Magic, Armor, Helms                ;Marionette Soldier Birdhelm               ;Metal helm formed in the likeness of the face of a bird. Worn by avionette soldiers, crafted to serve the sorcerers. For a doll, the only thing that matters is that it does not break.
Equipment & Magic, Armor, Helms                ;Mask of Confidence                        ;Mask with the mouth sewn shut with gold thread.
Equipment & Magic, Armor, Helms                ;Mushroom Crown                            ;Mushrooms found growing all over the body. These overgrown mushrooms form a towering headpiece.
Equipment & Magic, Armor, Helms                ;Mushroom Head                             ;Mushrooms found growing all over the body. These overgrown mushroom have colonized the head.  To those enraptured by the scarlet rot, they are holy vestments that root one to the earth.
Equipment & Magic, Armor, Helms                ;Navy Hood                                 ;A hooded cloak of deep navy.
Equipment & Magic, Armor, Helms                ;Night Maiden Twin Crown                   ;Twin crowns worn by the nightmaidens of the Eternal City. Long ago, the Nox invoked the ire of the Greater Will, and were banished deep underground. Now they live under a false night sky, in eternal anticipation of their liege. Of the coming age of the stars. And their Lord of Night.
Equipment & Magic, Armor, Helms                ;Nox Mirrorhelm                            ;Helm fashioned from a crystal looking-glass.
Equipment & Magic, Armor, Helms                ;Octopus Head                              ;A land octopus whelp worn directly on the head.
Equipment & Magic, Armor, Helms                ;Olivinus Glintstone Crown                 ;One of the glintstone crowns bestowed upon Raya Lucaria scholars whose pursuits were deemed worthy.
