code                             ;description                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ;natural language time tuple
Ruptured Crystal Tear            ;"A crystal tear formed slowly over the ages where the Erdtree's bounty falls to the ground. Can be mixed in the Flask of Wondrous Physick. A defective crystal tear which possesses absolutely no medicinal qualities. A lesson said to be learned the hard way for some; faith can be a volatile matter, after all. "                                                                                                                                                       ;
Carrier Pigeon Letter (2)        ;Letter addressed to someone: Traces of silvery slime found on Godwyn's Highroad. Just after until the procession with the big coffin passed by.                                                                                                                                                                                                                                                                                                                              ;
Rogier's Letter                  ;I forgot to tell you, but it seems D has a younger brother.I heard he lies in a deep sleep in the aqueduct beside The Eternal City of Nokron. And it's said he stood before the Prince of Death not far beyond that spot.                                                                                                                                                                                                                                                    ;D is born BEFORE D's younger brother is born
Spirit Calling Bell              ;A bell capable of summoning various spirits from ashen remains. It usually requires FP to use. Spirits can only be summoned in the vicinity of a rebirth monument. When summoning is possible, the monument icon will be visible on the left side of the screen. Only one type of spirit may be summoned at once, and none may be summoned during multiplayer.                                                                                                               ;
Memory Stone                     ;A black, lightly beguiling stone. Increases memory slots. Said to be a fragment of the black moon that once hung above the Eternal City.                                                                                                                                                                                                                                                                                                                                     ;Black Moon hangs over the Eternal City
Valkyrie's Prosthesis            ;Golden prosthesis once used by the one-armed valkyrie. When Maleigh Marais, Lord of the Shaded Castle, embraced this prosthesis, he claimed to feel the presence of his personal goddess.                                                                                                                                                                                                                                                                                    ;
Weathered Dagger                 ;Dagger received from Fia, the Deathbed Companion. She wishes for it to be returned to its rightful owner. It was once a special weapon of gold and silver intertwined, but is now worn down and marred by a black gash.                                                                                                                                                                                                                                                      ;
Burial Crow's Letter             ;A letter affixed to a graveyard crow's leg. Sought after by Kalé.                                                                                                                                                                                                                                                                                                                                                                                                            ;
Dragon Cult Prayerbook           ;Prayerbook of the capital's ancient dragon cult. A text of the knights' faith that arose after the War of the Ancient Dragons.                                                                                                                                                                                                                                                                                                                                               ;Dragon Cult arises AFTER War of the Ancient Dragons
Map (Ainsel River)               ;Map of Ainsel River and environs Two great rivers flow beneath the Lands Between, the Siorfra and the Ainsel. The vast region is said to be the grave of civilizations that flourished before the Erdtree.                                                                                                                                                                                                                                                                   ;Siofra and Ainsel region civilization flourishes BEFORE Erdtree grows
Map (Siofra River)               ;Map of Siofra River and environs Two great rivers flow beneath the Lands Between, the Siofra and the Ainsel. This vast region is said to be the grave of civilizations that flourished before the Erdtree.                                                                                                                                                                                                                                                                   ;Siofra and Ainsel region civilization flourishes BEFORE Erdtree grows
Remembrance of the Starscourge   ;Remembrance of Starscourge Radahn, hewn into the Erdtree. The power of its namesake can be unlocked by the Finger Reader. The Red Lion General wielded gravitational powers which he learned in Selia during his younger days. All so he would never have to abandon his beloved but scrawny steed.                                                                                                                                                                          ;Radahn learns to wield gravitational powers in Selia DURING Radahn's youth
Remembrance of the Dragonlord    ;Remembrance of Dragonlord Placidusax, hewn into the Erdtree. The power of its namesake can be unlocked by the Finger Reader. Alternatively, it can be used to gain a great bounty of runes. The Dragonlord whose seat lies at the heart of the storm beyond  time is said to have been Elden Lord in the age before the Erdtree.  Once his god was fled, the lord continued to await its return.                                                                             ;Placidusax is Elden Lord BEFORE Erdtree grows
Remembrance of Hoarah Loux       ;Remembrance of the warrior Hoarah Loux, hewn into the Erdtree. The power of its namesake can be unlocked by the Finger Reader. When Godfrey, first Elden Lord was robbed of his grace, becoming Tarnished, he took with him his kinfolk and left the Lands Between. After the Long March of the Tarnished came to an end, Godfrey divested himself of kingship, becoming a simple warrior once more.                                                                         ;Long March comes to an end BEFORE Godfrey divests himself from kingship
Elden Remembrance                ;Remembrance of the Elden Beast, hewn into the Erdtree. The power of its namesake can be unlocked by the Finger Reader. Alternatively, it can be used to gain a great bounty of runes. It was the vassal beast of the Greater Will and living incarnation of the concept of Order.                                                                                                                                                                                            ;
Memory of Grace                  ;The memory of first grace, which once guided bygone Tarnished to the Lands Between. Lose all runes and return to last site of grace visited. It is merely a cycle.                                                                                                                                                                                                                                                                                                           ;
Telescope                        ;Astrology tool used by members of the Carian royal family.  A stolen part of a larger instrument. Allows the viewer to better see faraway things. During the age of the Erdtree, Carian astrology withered on the vine.  The fate once writ in the night skies had been fettered by the Golden Order.                                                                                                                                                                        ;Carian astrology withers on the vine DURING Erdtree, Fate is written in the night sky BEFORE Erdtree
Pureblood Knight's Medal         ;Proof that one is a glorious knight of the new Dynasty of Mohgwyn that the Lord of Blood will inaugurate. Use to be granted audience with Mohg. Only, it is not yet time. For Mohg yet slumbers beside the Divinity.                                                                                                                                                                                                                                                         ;
Mohg's Shackle                   ;A fetish bathed in golden magic. Shackles were used to bind the accursed people called the Omen, and these ones were made to keep a particular Omen under strictest confinement. Though faint, the shackles still retain vestiges of power — enough to trap the once-bound Mohg on earth, if only for a short time.                                                                                                                                                          ;
Perfumer's Shield                ;Golden shield used by the perfumers of Leyndell during military service.                                                                                                                                                                                                                                                                                                                                                                                                     ;
Shield of the Guilty             ;Shield made to venerate a maiden whose eyes were crushed by Briars of Sin before being reborn in these lands. Venerating the repose of the soul, this shield boosts focus. The briars can be used to attack foes.                                                                                                                                                                                                                                                            ;Briar of Sins crushes eyes of maiden BEFORE maiden is reborn
Dragonclaw Shield                ;Greatshield said to have been whittled from the claw of a great, ancient dragon, wielded by grotesque Tree Sentinels who yet serve the Erdtree. Imbued with lightning.                                                                                                                                                                                                                                                                                                       ;
Arsenal Charm                    ;An iron charm that resembles a mass of weaponry. Boosts maximum equipment load. This talisman was derived from an unusual greatsword, once wielded by a hero hungry for vengeance.                                                                                                                                                                                                                                                                                           ;
Two Fingers Heirloom             ;A talisman engraved with the legend of the Two Fingers. Fingers cannot speak, yet these are eloquent.                                                                                                                                                                                                                                                                                                                                                                        ;
Red-Feathered Branchsword        ;A talisman adorned with red feathers, once used in ancient death rituals. Raises attack power when HP is low. The heart sings when one draws close to death, and a glorious end awaits those who cling so tenaciously to life.                                                                                                                                                                                                                                               ;Red-Feathered Branchsword is used in ancient death rituals
Ritual Sword Talisman            ;A talisman patterned after swords used in ritual combat held to honor the Erdtree. Raises attack power when HP is at maximum. The practice had died out by the age of King Consort Radagon, but remains of the arenas where ritual combat took place can still be found in every land.                                                                                                                                                                                       ;Combat is held to honor the Erdtree BEFORE age of King Consort Radagon
Rotten Winged Sword Insignia     ;A talisman depicting a raised prosthetic blade. An honor bestowed upon the valkyries who serve the goddess of rot.  Greatly raises attack power with successive attacks. The Four sister were born in the swamp of Aeonia, and came to the Haligtree under the aegis of Gowry. And yet, those buds were doomed to never blossom.                                                                                                                                             ;
Old Lord's Talisman              ;A legendary talisman depicting the ancient king whose seat lies at the heart of the storm beyond time. Extends the duration of sorceries and incantations. It is said that the ancient royal city of Farum Azula has been  slowly crumbling since time immemorial.                                                                                                                                                                                                           ;
Dragoncrest Shield Talisman      ;Wrought iron talisman depicting a trio of ancient dragons. Boosts physical damage negation. The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock. And so it is that the shape of the dragon has become symbolic of all manner of protections.                                                                                                                                                         ;
Dragoncrest Greatshield Talisman ;Legendary talisman of wrought iron depicting a massive ancient dragon. Enormously boosts physical damage negation. The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock. And so it is that the shape of the dragon has become symbolic of all manner of protections.                                                                                                                                  ;
Spelldrake Talisman              ;Talisman depicting a blue ancient dragon. The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.                                                                                                                                                                                                                                                                                                       ;
Flamedrake Talisman              ;Talisman depicting a red ancient dragon. The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.                                                                                                                                                                                                                                                                                                        ;
Boltdrake Talisman               ;Talisman depicting a yellow ancient dragon. The ancient dragons, who ruled before the prehistoric era of the Erdtree, would protect their lord as a wall of living rock.                                                                                                                                                                                                                                                                                                     ;
Haligdrake Talisman              ;Talisman depicting a golden ancient dragon. The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.                                                                                                                                                                                                                                                                                                     ;
Pearldrake Talisman              ;Talisman depicting a pearlescent ancient dragon. The ancient dragons who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock. And so it is that the shape of the dragon has become symbolic of all manner of protections.                                                                                                                                                                                                     ;
Blue-Feathered Branchsword       ;A talisman adorned with blue feathers, once used in ancient death rituals. Raises defense when HP is low. The heart sings when one draws close to death, and thus does one cling so tenaciously to life - to render up a death worth offering.                                                                                                                                                                                                                               ;
Ritual Shield Talisman           ;A talisman patterned after shields used in ritual combat held to honor the Erdtree. Raises defense when HP is at maximum. The practice had died out by the age of King Consort Radagon, but remains of the arenas where ritual combat took place can still be found in every land.                                                                                                                                                                                           ;
Greatshield Talisman             ;Talisman depicting a knight holding a greatshield. Boosts guarding ability. The knights of Leyndell once modelled themselves after the Tree Sentinels. Their purpose is to protect that which deserves protection, and thus the shield always comes before the sword.                                                                                                                                                                                                        ;
Crimson Seed Talisman            ;A crimson-colored talisman patterned after an Erdtree seed. Boosts HP restoration from the Flask of Crimson Tears. The Erdtree was once perfect and eternal, and thus was it believed that Erdtree seeds could not exist.                                                                                                                                                                                                                                                    ;
Cerulean Seed Talisman           ;A cerulean-colored talisman patterned after an Erdtree seed. The Erdtree was once perfect and eternal, and thus was it believed that Erdtree seeds could not exist.                                                                                                                                                                                                                                                                                                          ;
Blessed Dew Talisman             ;Talisman depicting a drop of the Erdtree's sap, a blessed boon. Gradually restores HP. It was once thought that the blessed sap of the Erdtree would drip from its boughs forever -- but that age of plenty swiftly came to a close, and with time, the Erdtree became more an object of faith.                                                                                                                                                                              ;
Taker's Cameo                    ;A talisman engraved with a stern likeness of Praetor Rykard,  master of Volcano Manor. Restores HP upon defeating enemies. When Rykard turned to heresy, taking by force became the rule.  The gods themselves were no different, after all.                                                                                                                                                                                                                                 ;
Assassin's Crimson Dagger        ;An assassin's dagger, misshapen and stained in crimson. This charm is modelled after the darkly gleaming blades used in the Night of Black Knives. Those which gave the demigods their first taste of death.                                                                                                                                                                                                                                                                 ;
Assassin's Cerulean Dagger       ;An assassin's dagger, misshapen and stained in cerulean. This charm is modelled after the darkly gleaming blades used in the Night of Black Knives. Those which gave the demigods their first taste of death.                                                                                                                                                                                                                                                                ;
Crepus's Vial                    ;Small mysterious bottle with a dark mist sealed within. Eliminates all sound made by the wearer during movement. A ritual implement used by Roundtable Hold assassins. There was a time when Tarnished who had strayed from guidance feared  nothing more than utter silence.                                                                                                                                                                                                ;
Concealing Veil                  ;Talisman put together from dark cloth with a lustrous sheen. Completely conceals the wearer's presence while crouching at a distance from foes. Part of one of the concealing veils used by the assassins on the Night of Black Knives.                                                                                                                                                                                                                                      ;
Carian Filigreed Crest           ;A talisman adorned with the royal crest. Lowers FP consumed by skills. An honor said to have once been awarded to Carian knights who served as direct retainers to the kingdom's princesses. Now there is only one princess: Ranni, daughter of Rennala.                                                                                                                                                                                                                     ;
Rykard's Great Rune              ;A Great Rune of the shardbearer Rykard.  Rykard was amongst the children of Rennala and Radagon, who became demigod stepchildren after Radagon's union with Queen Marika. But Rykard fed himself to the blasphemous serpent, Great Rune and all.                                                                                                                                                                                                                             ;
Radahn's Great Rune              ;A Great Rune of the shardbearer Radahn. Its blessing raises maximum HP, FP and Stamina. Radahn was amongst the children of Rennala and Radagon, who became demigod stepchildren after Radagon's union with Queen Marika. The Great Rune burns, to resist the encroachment of the scarlet rot.                                                                                                                                                                                ;
Malenia's Great Rune             ;A Great Rune of the shardbearer Malenia. And yet, due to the infusion of Malenia's spirit of resistance. attacks made immediately after receiving damage will partially recover HP. Malenia is daughter to Queen Marika and Radagon, and her Great Rune should have been the most sacred of all.                                                                                                                                                                             ;
Founding Rain of Stars           ;The eldest primeval sorcery, said to have been discovered by an ancient astrologer. A sorcery of legendary status. Summons a dark cloud of stars overhead. Shortly after, the cloud will release a violent deluge of star rain. This sorcery can be cast while in motion. Charging increases potency. Thought to be the founding glintstone sorcery. The glimpse of the primeval current that the astrologer saw became real, and the stars' amber rained down on this land. ;
Freezing Mist                    ;Sorcery said to have been used by the old snow witch. Releases a cold mist before the caster. range of the mist. The snowy crone taught the young Ranni to fear the dark moon  as she imparted her cold sorcery.                                                                                                                                                                                                                                                             ;
Great Oracular Bubble            ;Sorcery of the claymen who served as priests in the ancient  dynasty. Produces a gigantic magical bubble that drifts towards foes before  it naturally ruptures. Charging increases the delay before the bubble pops. The claymen search for lost oracles within their bubbles.                                                                                                                                                                                              ;
Magic Glintblade                 ;An old sorcery of the Carian Royal Family. Creates a sigil overhead, from which an enemy-seeking glintblade appears after a brief delay. This sorcery can be used while in motion.  Charging increases the delay.                                                                                                                                                                                                                                                            ;
Night Maiden's Mist              ;One of the night sorceries of Sellia, Town of Sorcery. Releases a life-sapping silver mist before the caster, dealing Below Sellia, the Eternal City of Nokron sleeps. This sorcery                                                                                                                                                                                                                                                                                          ;
Night Shard                      ;One of the night sorceries of Sellia, Town of Sorcery. Swiftly fires a semi-invisible projectile. This sorcery can be used without delay after performing another action. The Sellian sorcerers were assassins, and it is said that they often hunted their fellows.                                                                                                                                                                                                         ;
Oracle Bubbles                   ;Sorcery of the claymen who served as priests in the ancient dynasty. Produces several small magical bubbles that drift towards foes before they naturally pop. Charging increases the delay before the bubbles pop. The claymen search for lost oracles within their bubbles.                                                                                                                                                                                                ;
Starlight                        ;One of the glintstone sorceries of the Academy of Raya Lucaria. Creates a small, floating star light that illuminates surroundings. This sorcery can be cast while in motion. Granted to sorcerers who depart from the academy to embark on journeys. Even during the blackest nights, sojourns underground, or imprisonment in gaol, the stars are never far from a sorcerer's side.                                                                                        ;
Zamor Ice Storm (Spell)          ;Ice sorcery of the Town of Zamor. Strike the ground with the staff to create a freezing tornado. Charging enhances potency. Cloaked in icy tempests, the knights of Zamor have challenged the Fire Giants since ancient times.                                                                                                                                                                                                                                               ;
Two Fingers' Prayerbook          ;Prayerbook containing incantations of the Two Fingers. An item once entrusted to Tarnished worthy of lordship. Can be given to a learned cleric to gain access to the following incantations: - Lord's Heal - Lord's Aid                                                                                                                                                                                                                                                     ;
Aspects of the Crucible: Breath  ;One of the ancient Erdtree incantations. Creates a throat pouch on the caster's neck, allowing them to spew fiery breath while walking. Charging increases duration of the breath. This is a manifestation of the Erdtree's primal vital energies - an aspect of the primordial crucible, where all life was once blended together.                                                                                                                                          ;
Aspects of the Crucible: Horns   ;One of the ancient Erdtree incantations. Creates a mighty horn on the caster's shoulder to gore foes from a low stance. Charging allows the caster to barrel into foes before delivering the final attack. This is a manifestation of the Erdtree's primal vital energies - an aspect of the primordial crucible, where all life was once blended together.                                                                                                                  ;
Aspects of the Crucible: Tail    ;One of the ancient Erdtree incantations. Creates a supple tail that sweeps through foes before the caster. This is a manifestation of the Erdtree's primal vital energies - an                                                                                                                                                                                                                                                                                               ;
Assassin's Approach              ;Incantation of the Two Fingers' servants, who once served as the assassins of the Roundtable Hold. Completely silences the footsteps of the caster. Additionally reduces fall damage and the sound produced by falling. The assassins were charged with eliminating Tarnished who had strayed from guidance.                                                                                                                                                                 ;
Barrier of Gold                  ;One of the incantations of Erdtree Worship.  Greatly increases magic damage negation for the caster and nearby allies. Hold to continue praying and delay activation. This incantation was used by the champions of the Erdtree in the First and the Second Liurnian Wars, during which the red-haired Radagon joined the heroes' ranks                                                                                                                                      ;
Black Blade                      ;Power gleaned from the remembrance of Maliketh. Caster creates an illusory black blade, then leaps forward to  deliver a spinning slash that emits a wave of light.  This can be followed up with one additional attack. This blade was once imbued with Destined Death. In addition to  dealing damage, it reduces foes' maximum HP and continues to  sap their current HP for a very short time.                                                                           ;
Black Flame Blade                ;A black flame incantation of the Godskin Apostles. Engulfs armament held in the right hand with black flame. This incantation can be cast without delay after performing another action. Black flame is weighty. After dealing damage it continues to sap foes' HP for a very short time.                                                                                                                                                                                    ;
Blessing of the Erdtree          ;One of the ancient Erdtree incantations Grants a greater blessing to the caster and nearby allies, gradually restoring a large amount of HP. The Erdtree once flourished with abundance- yet it was only for a. fleeting moment. Such is c course of all life.                                                                                                                                                                                                               ;
Blessing's Boon                  ;One of the ancient Erdtree incantations. Grants a blessing to the caster and nearby allies, gradually restoring HP. Blessings once fell like tears from the Erdtree, and this incantation is but a lingering remnant of their power.                                                                                                                                                                                                                                         ;
Bloodboon                        ;Sacred incantation of Mohg, Lord of Blood. Thrust arm into the body of the Formless Mother, then scatter the bloodflame to set the area ablaze. This incantation can be cast while in motion. The mother of truth craves wounds. When Mohg stood before her, deep underground, his accursed blood erupted with fire, and besotted with the defilement that he was born into.                                                                                                 ;
Bloodflame Talons                ;A Blood Oath incantation, granted by the Lord of Blood. Creates bloodflame lacerations before the caster, which explode in  an instant. This incantation can be cast repeatedly. After dealing damage, bloodflame continues to build up onset of  blood loss for a very short time.                                                                                                                                                                                          ;
Borealis's Mist                  ;Superior incantation of Dragon Communion. Channels the power of Borealis, the Freezing Fog. Transforms caster into a dragon to spew icy breath from above. Charging extends duration. This incantation can be cast while jumping. The ice dragons were once lords of the mountaintops long ago, until they were defeated by the Fire Giants and chased from the peak.                                                                                                        ;
Darkness                         ;Incantation of the Two Fingers' servants, who once served as the  assassins of the Roundtable Hold. Creates a veil of darkness that conceals the caster. The assassins were themselves once Tarnished who had strayed  from guidance, and they pursued their duty in the darkness that is  without grace.                                                                                                                                                                    ;
Discus of Light                  ;One of the incantations of the Golden Order fundamentalists. Produces a ring of light and fires it forwards. The ring of light returns to a position close to the caster before disappearing. This incantation can be cast repeatedly. A gift from the young Miquella to his father, Radagon.                                                                                                                                                                                ;
Dragonmaw                        ;One of the incantations of Dragon Communion. Transforms caster into a dragon to bite enemies before them. Incantations of those who have hunted dragons and feasted upon their hearts. Theirs is a pure and overwhelming power.                                                                                                                                                                                                                                              ;
Erdtree Heal                     ;One of the ancient Erdtree incantations. Heals a vast amount of HP for the caster and nearby allies. Hold to continue praying and delay activation. The Erdtree once flourished with abundance - yet it was only for a fleeting moment. Such is the course of all life.                                                                                                                                                                                                      ;
Flame Fall Upon Them             ;One of the incantations that draws directly from the power of the Fire Giants. Hurls several balls of fire at once. Charging enhances potency and causes the balls offire to explode. There is no record of this incantation in common prayerbooks. Only a select few prelates know of its existence.                                                                                                                                                                        ;
Flame Protect Me                 ;The most ancient of the Fire Monks' incantations. Creates a fire within that greatly increases fire damage negation. It is said that this incantation was used during the War against the  Giants long ago, during which it protected the champions of the  Erdtree.                                                                                                                                                                                                         ;
Fortissax's Lightning Spear      ;Incantation that channels the power of the ancient dragon Fortissax.  creates two spears of red lightning and stabs them into the ground from above, one after another. On impact, each spear will burst into trails of lightning covering the area. During the War of the Anicent Dragons, these twin red lightning stakes were the hallmark of the once ancient dragon who was called the mightiest boulderstone.                                                          ;
Frenzied Burst                   ;Incantations originating from the maddening Three Fingers. Releases concentrated blasts of the yellow flame of frenzy from the caster's eyes. Charging enhances potency, enabling the blasts to penetrate the enemy's guard. In times past, every single person who attempted to control the flame of frenzy succumbed to madness after a desperate internal struggle. This incantation is testament to a meager victory.                                                    ;
Golden Lightning Fortification   ;An incantation of Erdtree Worship. Greatly increases lightning damage negation for the caster and nearby allies. Hold to continue praying, delaying the effect. This incantation was used by the knights of the Erdtree during the assault by the great ancient dragon Gransax, and the bitter War of the Ancient Dragons that followed.                                                                                                                                     ;
Greyoll's Roar                   ;Superior incantation of Dragon Communion. Transforms caster into a dragon to emit a terrible roar, reducing  the attack power and defense of nearby enemies. Greyoll was the mother of all dragons, dwarfing all who stood  before her like a looming mountain.                                                                                                                                                                                                              ;
Immutable Shield                 ;One of the incantations of the Golden Order fundamentalists. Enchants shield held in the left hand with the light of regression,  increasing all forms of non-physical damage negation and ailment  resistance. Two concepts form the basis for Golden Order fundamentalism. One is the law of regression, to which this incantation relates.                                                                                                                                ;
Lightning Spear                  ;One of the incantations of the capital's ancient dragon cult. Summons a lightning spear and hurls it before the caster.                                                                                                                                                                                                                                                                                                                                                      ;
Lightning Strike                 ;One of the incantations of the capital's ancient dragon cult. Summons a bolt of lightning that scatters and spreads around the surrounding area. Ancestors of the modern dragons, the ancient dragons had scales of Gravel Stone and wielded lightning as their weapon. It is said that they once attacked Leyndell, the Royal Capital.                                                                                                                                      ;
Lord's Divine Fortification      ;"Incantation taught to Gideon the All-Knowing by the Two  Fingers. Greatly increases holy damage negation for the caster and nearby  allies. Hold to continue praying and delay activation. Gideon gained true knowledge after his long exchange with the  Two Fingers - discovering all had been broken long ago; that the  trembling fingers, bent with age, and the Erdtree itself, were no  exception. "                                                                 ;
Lord's Heal                      ;Incantation bestowed by the Two Fingers upon the Tarnished deemed worthy of becoming a lord. Heals a massive amount of HP for the caster and nearby allies. Hold to continue praying and delay activation. Tarnished - O, Tarnished! Seek the Erdtree and stand before Marika, its Queen. Become the Elden Lord!                                                                                                                                                             ;
Placidusax's Ruin                ;Power gleaned form the remembrance of Dragonlord Placidusax.   Transforms caster into the Dragonlord to spew golden breath from above. This incantation can be cast while jumping  These are the dying wails of the Dragonlord who once dwelled eternal beyond time.                                                                                                                                                                                                         ;
Poison Mist                      ;Incantation of the servants of rot. Releases a poisonous mist before the caster. Those who dwell within poison know rot all too well. The death that begets life, that comes to all equally. That is to say: it is the cycle of rebirth put into practice.                                                                                                                                                                                                                   ;
Radagon's Rings of Light         ;One of the incantations of the Golden Order fundamentalists. A gift of gratitude to the young Miquella from his father, Radagon. Produces a golden ring of light and fires it across a wide area. Charging enhances range. And yet, the young Miquella abandoned fundamentalism, for it could do nothing to treat Malenia's accursed rot. This was the beginning of unalloyed gold.                                                                                          ;
Shadow Bait                      ;Incantation of the Two Fingers' servants, who once served as the assassins of the Roundtable Hold. Creates a pale gold shadow before the caster, luring foes of human build and attracting their aggression. This incantation can be cast while in motion or crouching, and will still affect foes that are already in a combat state. It is said that those beguiled by the shadow see within it a hated foe.                                                               ;
Stone of Gurranq                 ;"Superior incantation taught by Gurranq, the Beast Clergyman. Hurls a boulder before the caster. This incantation can be cast repeatedly. Long ago, Gurranq was a beast of such terrifying ferocity that his former name meant ""Death of the Demigods."" "                                                                                                                                                                                                                  ;
Surge O Flame!                   ;Superior incantation of the Fire Monks. Creates a stream of fire to burn the area before the caster. The Giants' Flame is the flame of ruin, capable of burning the                                                                                                                                                                                                                                                                                                          ;
Whirl O Flame!                   ;Superior Incantation of the Fire Monks.  Creates a spiraling stream of fire that burns the area before the caster. Charging enhances potency and reach.  Fire beguiles those who gaze into it. And so the guardians of the flame are also its worshippers.                                                                                                                                                                                                                   ;
Burred Bolt                      ;Bolt covered in thorns. One of the most horrific weapons used in the Shattering. Afflicts with blood loss. Diffcult to remove once buried in flesh, causes appalling damage to the body                                                                                                                                                                                                                                                                                      ;
Firebone Bolt                    ;Bolt carved from animal bone. The tip is set alight before firing. Deals fire damage. Craftable item.                                                                                                                                                                                                                                                                                                                                                                        ;
Radahn's Spear                   ;Greatarrows used by the General Radahns during the festival of combat. These are in fact the many spears with which he was stabbed by the Cleanrot Knights.                                                                                                                                                                                                                                                                                                                  ;
Spiritflame Arrow                ;Arrow set alight with ghostflame before firing. Deals magic damage while also afflicting foes with frost. Used by the Company of the Fallen Hawk, once ordered to explore the Eternal City.                                                                                                                                                                                                                                                                                  ;
Sacred Tear                      ;"Blessing of the Erdtree, worshiped in the churches of all lands; this  is but a faint vestige. Increases the potency of a Sacred Flask's restorative effects. (Can be used after resting at a site of grace.) During the age of the Erdtree, these tears were used to spread the  faith, for theirs was once a certain blessing. "                                                                                                                                          ;
Ghost Glovewort (1)              ;White flower that blooms in catacombs. Strengthens renowned ashes to +1. Ashes which keep their renown even after death cannot be strengthened by merely corporeal glovewort.                                                                                                                                                                                                                                                                                                ;
Ghost Glovewort (2)              ;White flower that blooms in catacombs. Strengthens renowned ashes to +2. Ashes which keep their renown even after death cannot be strengthened by merely corporeal glovewort.                                                                                                                                                                                                                                                                                                ;
Ghost Glovewort (3)              ;White flower that blooms in catacombs. Strengthens renowned ashes to +3. Ashes which keep their renown even after death cannot be strengthened by merely corporeal glovewort.                                                                                                                                                                                                                                                                                                ;
Ghost Glovewort (4)              ;White flower that blooms in catacombs. Strengthens renowned ashes to +4. Ashes which keep their renown even after death cannot be strengthened by merely corporeal glovewort.                                                                                                                                                                                                                                                                                                ;
Ghost Glovewort (5)              ;White flower that blooms in catacombs. Strengthens renowned ashes to +5. Ashes which keep their renown even after death cannot be strengthened by merely corporeal glovewort.                                                                                                                                                                                                                                                                                                ;
Ghost Glovewort (6)              ;White flower that blooms in catacombs. Strengthens renowned ashes to +6. Ashes which keep their renown even after death cannot be strengthened by merely corporeal glovewort.                                                                                                                                                                                                                                                                                                ;
Ghost Glovewort (7)              ;White flower that blooms in catacombs. A spirit nestles close to it. Strengthens renowned ashes to +7. Ashes which keep their renown even after death cannot be strengthened by merely corporeal glovewort.                                                                                                                                                                                                                                                                  ;
Ghost Glovewort (8)              ;White flower that blooms in catacombs. A spirit nestles close to it. Strengthens renowned ashes to +8. Ashes which keep their renown even after death cannot be strengthened by merely corporeal glovewort.                                                                                                                                                                                                                                                                  ;
Ghost Glovewort (9)              ;White flower that blooms in catacombs.  Strengthens renowned ashes to +9.  Ashes which keep their renown even after death cannot be strengthened by merely coporeal glovewort                                                                                                                                                                                                                                                                                                ;
